DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2022,8.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2022,6.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2022,10.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2022,6.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2022,8.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CZ,2022,6.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,DE,2022,12.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,DK,2022,10.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,EE,2022,10.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,EL,2022,4.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,ES,2022,13.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,EU27_2020,2022,9.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,FI,2022,8.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,FR,2022,7.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,HR,2022,2.3,u
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,HU,2022,12.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,IE,2022,3.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,IS,2022,16.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,IT,2022,11.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,LT,2022,4.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,LU,2022,8.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,LV,2022,6.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,MT,2022,10.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,NL,2022,5.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,NO,2022,13.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,PL,2022,4.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,PT,2022,6.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,RO,2022,15.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,RS,2022,5.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,SE,2022,8.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,SI,2022,4.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,SK,2022,7.4,b
