DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2000,10.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2001,10.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2002,9.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2003,9.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2004,9.8,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2005,9.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2006,10.0,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2007,10.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2008,10.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2009,8.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2010,8.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2011,8.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2012,7.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2013,7.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2014,7.0,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2015,7.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2016,6.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2017,7.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2018,7.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2019,7.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2020,8.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2021,8.0,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,AT,2022,8.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2000,13.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2001,13.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2002,14.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2003,14.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2004,13.1,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2005,12.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2006,12.6,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2007,12.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2008,12.0,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2009,11.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2010,11.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2011,12.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2012,12.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2013,11.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2014,9.8,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2015,10.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2016,8.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2017,8.9,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2018,8.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2019,8.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2020,8.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2021,6.7,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BE,2022,6.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2001,20.5,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2002,20.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2003,21.9,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2004,21.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2005,20.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2006,17.3,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2007,14.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2008,14.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2009,14.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2010,12.6,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2011,11.8,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2012,12.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2013,12.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2014,12.9,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2015,13.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2016,13.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2017,12.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2018,12.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2019,13.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2020,12.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2021,12.2,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,BG,2022,10.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2000,7.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2001,6.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2002,6.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2003,9.7,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2004,9.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2005,9.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2006,9.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2007,7.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2008,7.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2009,9.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2010,6.7,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2011,6.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2012,5.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2013,5.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2014,5.6,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2015,5.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2016,4.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2017,4.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2018,4.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2019,4.4,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2020,4.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2021,4.9,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CH,2022,6.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2000,18.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2001,17.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2002,15.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2003,17.3,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2004,20.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2005,18.2,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2006,14.9,b
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2007,12.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2008,13.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,CY,2009,11.7,b
